Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Oxidative Phosphorylation	123/200	7.55793573179418e-35	3.77896786589709e-33	0	0	6.01476862487693	472.567620468771	ACAA2;COX6A1;PHB2;MPC1;PMPCA;ATP6V1E1;ACAA1;CPT1A;ATP6V0E1;ECH1;SDHC;SDHD;SDHA;SDHB;COX6B1;AFG3L2;COX7A2L;POR;UQCRC1;VDAC3;SUCLG1;VDAC1;UQCRC2;RETSAT;COX15;MGST3;COX17;HTRA2;COX7A2;MRPL15;UQCRH;MRPL11;PRDX3;RHOT2;CYB5R3;RHOT1;COX11;CYC1;NDUFV1;ATP6V1D;ATP6V1C1;DECR1;ATP6V1F;SURF1;PDHA1;IDH1;IDH2;GOT2;ACADSB;MRPS15;ACADVL;ALAS1;MRPS11;COX4I1;MRPS12;ETFA;ETFB;TCIRG1;MRPL34;MRPL35;CASP7;AIFM1;OPA1;IDH3B;TIMM17A;UQCRFS1;ACADM;IDH3A;COX8A;BCKDHA;ATP6V0B;ATP6AP1;MRPS22;NDUFC2;NDUFC1;HADHB;HADHA;NDUFS8;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;SLC25A5;SLC25A12;SLC25A11;FH;NDUFB8;ECHS1;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;TIMM13;NDUFB2;NDUFB1;UQCR11;UQCR10;MRPS30;PDHB;COX5B;COX5A;HSD17B10;POLR2F;SLC25A20;NDUFA9;TIMM8B;NDUFA8;NDUFA7;MDH1;NDUFA5;MTX2;MDH2;NDUFA4;IDH3G;NDUFA3;NDUFA2;NDUFA1;COX6C;SUCLA2;NDUFAB1;BAX
Interferon Alpha Response	66/97	6.48855999736969e-23	1.14278574563688e-21	0	0	7.93130227001195	405.205605163036	RTP4;OGFR;IFITM1;SAMD9L;IFITM2;UBE2L6;ADAR;IFI35;TMEM140;IFI30;IFIT3;IFI44L;OASL;IFIH1;NUB1;TRIM5;DHX58;CCRL2;EPSTI1;CASP1;TRIM25;TRIM21;B2M;CMTR1;RSAD2;SP110;TAP1;HLA-C;TRAFD1;PARP9;PLSCR1;PSMA3;OAS1;IRF1;IRF2;PSME1;IRF7;CMPK2;TRIM14;PSME2;LAP3;CD47;IRF9;LY6E;RNF31;UBA7;CNP;SAMD9;DDX60;USP18;HELZ2;MVB12A;GBP2;GBP4;CD74;STAT2;MX1;IFI44;EIF2AK2;ISG15;NMI;PARP14;PSMB8;PSMB9;BST2;ISG20
Interferon Gamma Response	106/200	6.85671447382129e-23	1.14278574563688e-21	0	0	4.22412843475245	215.575136814998	CD86;SAMD9L;IFITM2;UBE2L6;IFI35;IFIT1;IFI30;IFIT3;IFI44L;MT2A;PNP;DHX58;TNFSF10;EPSTI1;TRIM25;TRIM21;B2M;CMTR1;ZBP1;IFNAR2;RSAD2;SP110;HLA-B;TAP1;TRAFD1;HLA-A;NUP93;PSME1;TRIM14;PSME2;CMPK2;LAP3;RBCK1;LY6E;DDX60;HELZ2;RNF213;SLAMF7;ST3GAL5;HLA-DQA1;VCAM1;EIF2AK2;IFI44;ISG15;NMI;PARP14;BST2;ISG20;XAF1;HLA-DRB1;MYD88;OGFR;RTP4;EIF4E3;ADAR;OASL;IFIH1;CASP7;CASP3;CASP4;CASP1;CD38;ITGB7;JAK2;DDX58;NCOA3;TAPBP;VAMP8;PLSCR1;PSMA3;PSMA2;OAS2;IRF1;OAS3;IRF2;IRF7;LCP2;IRF5;VAMP5;IRF9;RNF31;MVP;NLRC5;NOD1;SRI;USP18;PSMB10;HLA-DMA;APOL6;PSMB2;CCL5;GBP4;CD74;GCH1;STAT1;STAT2;MX2;GZMA;MX1;PSMB8;PML;PSMB9;ZNFX1;IL2RB;PTPN6;PFKP
DNA Repair	72/150	3.82530573325829e-13	4.78163216657286e-12	0	0	3.4333369911116	98.1658607464517	ARL6IP1;MPG;GTF2B;SNAPC5;PNP;ZNRD1;MRPL40;MPC2;REV3L;NELFB;POLL;NELFCD;RFC4;NME3;EDF1;GTF2F1;RBX1;DDB2;APRT;DDB1;DAD1;POLR1D;CMPK2;HCLS1;HPRT1;TP53;VPS28;GTF2A2;RALA;TSG101;CANT1;CSTF3;USP11;COX17;SUPT4H1;AK3;XPC;NT5C;DGUOK;POLD4;POLR2A;POLR2E;POLR2F;POLR2G;POLR2I;POLR2J;RAE1;SAC3D1;SF3A3;BCAP31;SURF1;DUT;BRF2;TAF12;POLR3GL;ADRM1;RPA2;GTF2H3;SMAD5;TARBP2;GTF2H5;POLE4;NUDT21;ERCC3;AGO4;ERCC4;ERCC1;RPA3;ERCC2;TAF6;ITPA;ADA
Myc Targets V1	85/200	1.2780329607187e-11	1.2780329607187e-10	0	0	2.75115876357075	69.0076285588442	HDDC2;PWP1;PHB2;UBE2L3;PSMD8;YWHAQ;SNRPD1;PSMD3;PSMD1;SNRPD3;AP3S1;TXNL4A;ACP1;CCT3;SMARCC1;RFC4;NCBP1;UBE2E1;RAD23B;TUFM;PSMA6;PSMA4;TFDP1;PSMA1;PSMA2;CLNS1A;VDAC3;SNRPG;NHP2;VDAC1;ERH;MCM5;HPRT1;MCM6;PPIA;SNRPA;KPNB1;PRPS2;HDAC2;SET;SF3B3;GLO1;CSTF2;PHB;COX5A;GSPT1;PSMA7;PPM1G;PRDX3;EXOSC7;PRDX4;PSMB2;PSMB3;G3BP1;FAM120A;PGK1;SNRPB2;CYC1;BUB3;CCT7;CCT5;XRCC6;DUT;HNRNPA3;SSB;CBX3;GOT2;NAP1L1;PA2G4;DEK;MRPL23;LSM2;LSM7;PSMC6;COPS5;CDK4;HNRNPA2B1;NDUFAB1;CDK2;EIF3J;HNRNPD;UBA2;PRPF31;HDGF;SSBP1
Adipogenesis	82/200	2.52243284278193e-10	2.10202736898494e-09	0	0	2.58423680341245	57.1132538794748	SLC25A1;SLC27A1;MTCH2;ACAA2;GHITM;ETFB;COX6A1;GPHN;SCP2;AIFM1;CPT2;DBT;ACADM;HADH;ACADS;PGM1;HIBCH;IDH3A;COX8A;BCKDHA;JAGN1;APLP2;MCCC1;ECH1;TALDO1;ELMOD3;ELOVL6;ATP1B3;SDHC;SDHB;ACLY;POR;TST;ACOX1;CAT;UQCRC1;CMPK1;NDUFS3;SUCLG1;PREB;TKT;RTN3;ECHS1;CD151;NDUFB7;RETSAT;MGST3;BAZ2A;ABCB8;UQCR11;MRPL15;UQCR10;SLC1A5;TANK;ADIPOR2;SULT1A1;PRDX3;SAMM50;UCP2;STOM;CYC1;DRAM2;DECR1;NDUFA5;MDH2;IDH3G;IDH1;COQ9;FAH;DNAJC15;PEX14;COQ5;SOD1;DHRS7;PFKL;UCK1;REEP5;LPCAT3;NDUFAB1;PDCD4;ESYT1;CRAT
PI3K/AKT/mTOR  Signaling	50/105	2.03515470006629e-09	1.45368192861878e-08	0	0	3.36866775608497	67.4161169944148	GSK3B;YWHAB;CLTC;PTEN;PRKAG1;SLA;FASLG;ECSIT;RPS6KA3;TBK1;RPS6KA1;CFL1;AKT1;RAC1;AP2M1;MAP2K3;ACTR3;ACTR2;PRKCB;TSC2;TRAF2;IRAK4;TNFRSF1A;LCK;CSNK2B;AKT1S1;PFN1;SQSTM1;RALB;CAB39;MAPKAP1;PIK3R3;ITPR2;NOD1;IL2RG;ACACA;MKNK1;PLCG1;MAP2K6;STAT2;PTPN11;PPP1CA;RIT1;CDK4;ARPC3;CDK2;UBE2N;PIN1;CALR;MYD88
Fatty Acid Metabolism	64/158	3.89214771529517e-08	2.43259232205948e-07	0	0	2.52499772793828	43.080803292336	ACADVL;ACAA2;ECI2;UBE2L6;ALAD;NSDHL;LGALS1;CPT2;UROD;IDH3B;NBN;ACADM;ACAA1;HADH;ACADS;HIBCH;CBR1;ACOT8;CPT1A;HSDL2;ECH1;ACSL5;SDHC;SDHD;SDHA;ALDH3A2;HADHB;UGDH;ACOX1;ACOT2;PSME1;SMS;ERP29;SUCLG2;SUCLG1;PPARA;BLVRA;ALDH9A1;FH;ECHS1;RETSAT;HPGD;RAP1GDS1;PDHB;HSD17B11;ADIPOR2;HSD17B10;ACAT2;CRYZ;NTHL1;PCBD1;D2HGDH;ACSS1;DECR1;PDHA1;MDH1;MDH2;IDH3G;IDH1;UROS;PRDX6;GRHPR;SUCLA2;CRAT
Pperoxisome	47/104	4.79964584058881e-08	2.66646991143823e-07	0	0	3.05288451570903	51.4476330250695	SLC23A2;SLC35B2;ABCD2;ABCB1;RETSAT;CTBP1;PEX11A;MVP;VPS4B;ECI2;PEX11B;HSD17B11;PRDX5;ATXN1;SCP2;PRDX1;NUDT19;LONP2;TSPO;ACAA1;ABCD1;FADS1;GSTK1;FIS1;FDPS;ACOT8;SMARCC1;CADM1;IDH1;ECH1;IDH2;ACSL5;PEX2;PEX14;SOD1;GNPAT;SLC25A17;MSH2;ERCC3;ACOX1;PEX6;ERCC1;CAT;ITGB1BP1;SLC27A2;CRAT;ALDH9A1
Allograft Rejection	76/200	5.65139665262399e-08	2.82569832631199e-07	0	0	2.27512244553285	37.9690134940945	CD86;GPR65;ITGB2;PRF1;UBE2D1;CD3G;FASLG;CD3E;CXCL13;ITGAL;CD3D;ETS1;CTSS;IL27RA;MRPL3;CCND3;SIT1;AKT1;CCR5;JAK2;HLA-DOA;B2M;MAP4K1;IFNAR2;SRGN;EIF5A;PRKCB;F2R;TAP1;IL16;TRAF2;HLA-A;HLA-E;TAPBP;NCR1;ZAP70;CD8B;CD8A;LCK;IRF7;HCLS1;LCP2;CD47;GCNT1;WAS;IL2RG;PSMB10;HLA-DMA;HLA-DMB;CXCR3;CCL5;FLNA;CSK;APBB1;IL12RB1;GBP2;HLA-DQA1;CCR1;CD74;STAT1;CDKN2A;GZMA;GALNT1;GZMB;CD2;PTPRC;CD7;EIF3J;IL2RB;UBE2N;HLA-DRA;KLRD1;DEGS1;PTPN6;CD247;EIF4G3
