Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Ribosome	76/158	4.31750687890738e-88	9.54169020238532e-86	0	0	57.2698363692498	11520.6757553403	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RSL24D1;RPS23
Coronavirus disease	80/232	1.95496961342359e-78	2.16024142283306e-76	0	0	32.8205128205128	5872.61579825969	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;FOS;RPL37A;RPL24;RPL27;RPL26;RPL29;IL6ST;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;PIK3R1;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;NLRP3;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;FAU;RPS21;RSL24D1;RPS23
Colorectal cancer	9/86	4.732680113582e-05	0.00348640768367208	0	0	5.96042860533722	59.3565337021335	CDKN1A;MYC;LEF1;TCF7;BCL2;FOS;PIK3R1;AREG;RHOA
Proteoglycans in cancer	13/205	0.000214195254901458	0.0118342878333056	0	0	3.46866754617414	29.3054628589466	CDKN1A;RPS6;PXN;PLAUR;WNT7A;PIK3R1;PTK2;RHOA;COL1A1;MYC;EZR;CD44;EIF4B
Circadian rhythm	5/31	0.000314767672939837	0.0125279515036345	0	0	9.73066984694892	78.4649663542936	PER1;BHLHE40;RORA;NR1D1;SKP1
Lipid and atherosclerosis	13/215	0.000340125380189172	0.0125279515036345	0	0	3.29525327202905	26.3165393010392	XBP1;HSPA5;PIK3R1;FOS;PTK2;RHOA;HSPD1;ERN1;CD40LG;RAP1A;DDIT3;BCL2;NLRP3
Salmonella infection	14/249	0.000425786798323691	0.0134426974899337	0	0	3.05327029156816	23.6981766245431	RIPK2;DYNLT3;TCF7;LEF1;RHOG;FOS;RHOA;RHOB;MYC;RPS3;BCL2;NLRP3;CYTH1;SKP1
Protein processing in endoplasmic reticulum	11/171	0.00057330842761931	0.0158376453129834	0	0	3.50931758530184	26.1938507775806	ERN1;XBP1;TRAM1;HSPA5;DAD1;DDIT3;SSR3;BCL2;SEC61B;SVIP;SKP1
Pathways in cancer	22/531	0.000852685942725441	0.0209381770380358	0	0	2.23107311633834	15.767259786383	PTGER4;CDKN1A;CDKN1B;IL4R;IFNGR2;TCF7;LEF1;WNT7A;FLT3LG;CXCR4;FOS;TRAF1;PIK3R1;PTK2;RHOA;EML4;LPAR6;MYC;BCL2;IL6ST;IL7R;SKP1
RNA transport	11/186	0.00114575644554791	0.0234456243312123	0	0	3.20604424446944	21.7103384198185	EIF4A2;EEF1A1;XPOT;EIF3H;EIF4EBP3;EIF3E;PABPC1;EIF2S2;EIF1B;EIF4B;EIF1
Shigellosis	13/246	0.00119504742592353	0.0234456243312123	0	0	2.8522653923245	19.1945179260323	GABARAPL1;RIPK2;PXN;PIK3R1;PTK2;RHOA;BCL2;NLRP3;RPS27A;UBA52;CD44;CYTH1;SKP1
HIF-1 signaling pathway	8/109	0.00137775831426033	0.0234456243312123	0	0	4.02372112211221	26.5054481308521	LDHB;LDHA;CDKN1A;CDKN1B;IFNGR2;RPS6;BCL2;PIK3R1
JAK-STAT signaling pathway	10/162	0.00137915437242426	0.0234456243312123	0	0	3.35078534031414	22.0692263580854	SOCS2;CDKN1A;IL4R;MYC;IFNGR2;BCL2;PIK3R1;IL6ST;IL7R;MCL1
Kaposi sarcoma-associated herpesvirus infection	11/193	0.00154137511860422	0.0243317072293952	0	0	3.08162441233307	19.9537656069663	GABARAPL1;CDKN1A;MYC;TCF7;LEF1;PIK3R1;FOS;RPS27A;IL6ST;UBA52;CCR4
PI3K-Akt signaling pathway	16/354	0.00177805499723458	0.025340480955543	0	0	2.42603550295858	15.36222743325	CDKN1A;CDKN1B;IL4R;RPS6;FLT3LG;PIK3R1;AREG;PTK2;COL1A1;LPAR6;MYC;DDIT4;BCL2;IL7R;EIF4B;MCL1
Leukocyte transendothelial migration	8/114	0.00183460495605741	0.025340480955543	0	0	3.83294025157233	24.1510732841146	RAP1A;PXN;CXCR4;PIK3R1;EZR;ARHGAP5;PTK2;RHOA
Small cell lung cancer	7/92	0.00221204821828844	0.0287566268377498	0	0	4.17604278074866	25.5316423486071	CDKN1A;CDKN1B;MYC;BCL2;TRAF1;PIK3R1;PTK2
Prostate cancer	7/97	0.00298543596389787	0.0366545193345238	0	0	3.9430303030303	22.9248156060848	CDKN1A;CDKN1B;ZEB1;TCF7;LEF1;BCL2;PIK3R1
MicroRNAs in cancer	14/310	0.00338796152455501	0.0394073419435083	0	0	2.41641641641642	13.7434332700404	CDKN1A;CDKN1B;PIK3R1;BMI1;RHOA;FOXP1;ZEB1;MYC;DDIT4;BCL2;VIM;EZR;CD44;MCL1
Transcriptional misregulation in cancer	10/192	0.00472167838507088	0.0521745461550333	0	0	2.79414302974512	14.9642871301902	CDKN1A;CDKN1B;ZEB1;BCL2A1;MYC;DDIT3;TRAF1;BMI1;KLF3;PTK2
Endometrial cancer	5/58	0.00551587174802565	0.0578611271279226	0	0	4.76695431719565	24.7887610369349	CDKN1A;MYC;LEF1;TCF7;PIK3R1
Thyroid cancer	4/37	0.00575993120730451	0.0578611271279226	0	0	6.11527647610122	31.53543964628	CDKN1A;MYC;LEF1;TCF7
ErbB signaling pathway	6/85	0.00650313275443957	0.0624866234230932	0	0	3.8425263986358	19.3489312306194	CDKN1A;CDKN1B;MYC;PIK3R1;AREG;PTK2
Apoptosis	8/142	0.00699136250799631	0.0643787964277993	0	0	3.02767412935323	15.0265883707225	ERN1;BCL2A1;DDIT3;BCL2;PIK3R1;FOS;TRAF1;MCL1
Gastric cancer	8/149	0.00922944439359305	0.0815882884393626	0	0	2.87632978723404	13.476630257635	CDKN1A;CDKN1B;MYC;TCF7;LEF1;BCL2;WNT7A;PIK3R1
Protein export	3/23	0.00989099965617694	0.0825320820344462	0	0	7.55321336760925	34.8666152832596	HSPA5;SRPRA;SEC61B
Acute myeloid leukemia	5/67	0.0100831050449323	0.0825320820344462	0	0	4.07310160873552	18.7236164427187	BCL2A1;MYC;LEF1;TCF7;PIK3R1
NF-kappa B signaling pathway	6/104	0.0166007726407296	0.130123574103243	0	0	3.09453315004758	12.6823439000695	EDA;CD40LG;BCL2A1;BCL2;TRAF1;LTB
Bacterial invasion of epithelial cells	5/77	0.0176249576512357	0.130123574103243	0	0	3.50559862187769	14.1571473604889	PXN;RHOG;PIK3R1;RHOA;PTK2
Parathyroid hormone synthesis, secretion and action	6/106	0.018072867541896	0.130123574103243	0	0	3.03233160621762	12.1697883301826	CDKN1A;NACA;BCL2;GATA3;FOS;RHOA
Yersinia infection	7/137	0.0184990096578178	0.130123574103243	0	0	2.7241958041958	10.8696449970453	PXN;RHOG;NLRP3;PIK3R1;FOS;PTK2;RHOA
Th17 cell differentiation	6/107	0.0188414224945872	0.130123574103243	0	0	3.00215461960704	11.9236500235012	IL4R;IFNGR2;RORA;GATA3;FOS;IL6ST
Breast cancer	7/147	0.0260098976286465	0.17418749624033	0	0	2.52831168831169	9.22651256356962	CDKN1A;MYC;TCF7;LEF1;WNT7A;PIK3R1;FOS
PD-L1 expression and PD-1 checkpoint pathway in cancer	5/89	0.0306928311942179	0.188963380940381	0	0	3.00295311923219	10.4614663484705	EML4;IFNGR2;CD28;FOS;PIK3R1
