p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	6.10707081392671	0.947	0.095	0	c7	HSPA1B
0	5.83626958661208	0.947	0.191	0	c7	HSPA1A
0	7.92329552425536	0.629	0.016	0	c7	HSPA6
0	3.28905539776428	0.786	0.24	0	c7	HSPH1
0	5.3424732014046	0.911	0.382	0	c7	DNAJB1
0	4.6944771819486	0.496	0.051	0	c7	DNAJB4
0	3.99480549176164	0.964	0.635	0	c7	HSP90AA1
0	6.12533339726154	0.344	0.026	0	c7	SERPINH1
9.3820662730874e-259	3.45287592623577	0.796	0.32	3.16119341005407e-254	c7	HSPB1
2.31079847695922e-227	2.93696043236999	0.893	0.605	7.7860043882664e-223	c7	UBB
1.44634623515627e-207	3.87915280121634	0.632	0.212	4.87331900473553e-203	c7	DUSP1
9.57282318859466e-193	2.53089610530725	0.845	0.532	3.22546704516508e-188	c7	HSPE1
3.84967944291089e-183	2.62668536187462	0.947	0.857	1.29711099149439e-178	c7	HSPA8
2.79320398469981e-181	4.6909462476329	0.417	0.088	9.41142150604755e-177	c7	IFNG
2.19631656691331e-173	3.50576245141547	0.707	0.356	7.4002690405577e-169	c7	PPP1R15A
4.6408676307488e-170	4.06203196161008	0.441	0.11	1.5636939395045e-165	c7	ZFAND2A
2.71561298514417e-152	2.72560672002123	0.447	0.115	9.14998639214477e-148	c7	NR4A1
2.55919780795796e-144	2.22745125898153	0.962	0.94	8.62296109413356e-140	c7	UBC
8.89068499916337e-142	3.54255802233937	0.421	0.117	2.99562740361811e-137	c7	BAG3
9.82244885426338e-127	3.83738262695758	0.27	0.048	3.3095759169555e-122	c7	FOS
9.91675052999703e-120	2.79710686330354	0.536	0.218	3.3413499235772e-115	c7	RGS2
1.56433591295539e-113	5.88909019192804	0.083	0.002	5.2708734251119e-109	c7	CCDC121
5.47616573633969e-108	9.28370867098612	0.066	0	1.84513928320229e-103	c7	ACTRT3
1.29840395770122e-82	6.11294072761923	0.069	0.002	4.37484229507849e-78	c7	SERPINE1
1.69924142436957e-82	3.63138011584064	0.164	0.026	5.72542405527082e-78	c7	SGK1
1.82610744733203e-79	1.09141301321631	0.861	0.717	6.15288643304055e-75	c7	CD52
1.23551283929147e-73	2.68772825615392	0.497	0.253	4.16293696070869e-69	c7	GADD45B
1.3014347467987e-71	0.337805035622524	0.999	0.999	4.38505423586354e-67	c7	RPS27
9.59938502770464e-68	5.74472966840158	0.051	0.001	3.2344167912348e-63	c7	RP11-15I11.3
2.46942135487653e-65	1.80730018567061	0.68	0.496	8.32046831312099e-61	c7	JUN
3.03153944600723e-65	0.412804991970831	0.999	0.997	1.02144690093768e-60	c7	RPS29
3.05126543734989e-65	1.81776863391309	0.693	0.541	1.02809337646067e-60	c7	CCT4
4.20629241250622e-64	3.22899311466804	0.133	0.022	1.41726816546984e-59	c7	TNFSF14
4.74974628226695e-60	1.8822820199673	0.865	0.831	1.60037951234703e-55	c7	HSP90AB1
1.40155381293606e-58	3.56450979871759	0.115	0.018	4.72239541730675e-54	c7	RP11-864I4.1
1.05044445713217e-56	3.29865670468595	0.279	0.101	3.53936755386113e-52	c7	CCL4L2
1.95709933235911e-55	1.87974893598624	0.367	0.163	6.59425049045077e-51	c7	GZMK
5.69650534879615e-55	1.70891176754911	0.637	0.502	1.91938051222337e-50	c7	CACYBP
4.05724119319922e-54	3.73454039665279	0.062	0.005	1.36704684763655e-49	c7	RP11-61J19.5
4.97672895317844e-54	2.9602874891416	0.146	0.031	1.67685905348394e-49	c7	MYLIP
5.46740011743078e-54	3.03588885704831	0.284	0.11	1.84218579556713e-49	c7	NEU1
3.53861635437674e-52	2.22554479452983	0.533	0.359	1.1923013944437e-47	c7	DNAJA1
1.08107038877855e-51	3.17626549612928	0.094	0.013	3.64255856795045e-47	c7	RP11-326C3.2
1.87317106691749e-51	0.999489299177204	0.773	0.622	6.31146259287178e-47	c7	HCST
6.36925210248908e-51	2.25394155512746	0.174	0.045	2.14605580341267e-46	c7	DNAJA4
