seurat_clusters	Sample	.n	.frac
c1	K409_LN	530	0.469026548672566
c1	K409_tumor	600	0.530973451327434
c2	K409_LN	843	0.845536609829488
c2	K409_tumor	154	0.154463390170512
c3	K409_LN	688	0.702757916241062
c3	K409_tumor	291	0.297242083758938
c4	K409_LN	731	0.764644351464435
c4	K409_tumor	225	0.235355648535565
c5	K409_LN	805	0.956057007125891
c5	K409_tumor	37	0.0439429928741093
c6	K409_LN	522	0.641277641277641
c6	K409_tumor	292	0.358722358722359
c7	K409_LN	727	0.914465408805031
c7	K409_tumor	68	0.0855345911949685
c8	K409_LN	577	0.750325097529259
c8	K409_tumor	192	0.249674902470741
c9	K409_LN	310	0.56672760511883
c9	K409_tumor	237	0.43327239488117
c10	K409_LN	218	0.71947194719472
c10	K409_tumor	85	0.280528052805281
c11	K409_LN	203	0.754646840148699
c11	K409_tumor	66	0.245353159851301
